Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
1957.00,-1.82,-0.68,0.03,-0.58,0.57,1.76,0.72,0.51,1.59,1.50,-0.32,-0.55,0.23
1958.00,0.25,0.62,0.25,1.06,1.28,1.33,0.89,1.06,0.29,0.01,-0.18,0.86,0.64
1959.00,0.69,-0.43,-0.95,-0.02,0.23,0.44,-0.50,-0.62,-0.85,0.52,1.11,0.06,-0.03
1960.00,0.30,0.52,-0.21,0.09,0.91,0.64,-0.27,-0.38,-0.94,0.09,-0.23,0.17,0.06
1961.00,1.18,0.43,0.09,0.34,-0.06,-0.61,-1.22,-1.13,-2.01,-2.28,-1.85,-2.69,-0.82
1962.00,-1.29,-1.15,-1.42,-0.80,-1.22,-1.62,-1.46,-0.48,-1.58,-1.55,-0.37,-0.96,-1.16
1963.00,-0.33,-0.16,-0.54,-0.41,-0.65,-0.88,-1.00,-1.03,0.45,-0.52,-2.08,-1.08,-0.69
1964.00,0.01,-0.21,-0.87,-1.03,-1.91,-0.32,-0.51,-1.03,-0.68,-0.37,-0.80,-1.52,-0.77
1965.00,-1.24,-1.16,0.04,0.62,-0.66,-0.80,-0.47,0.20,0.59,-0.36,-0.59,0.06,-0.31
1966.00,-0.82,-0.03,-1.29,0.06,-0.53,0.16,0.26,-0.35,-0.33,-1.17,-1.15,-0.32,-0.46
1967.00,-0.20,-0.18,-1.20,-0.89,-1.24,-1.16,-0.89,-1.24,-0.72,-0.64,-0.05,-0.40,-0.73
1968.00,-0.95,-0.40,-0.31,-1.03,-0.53,-0.35,0.53,0.19,0.06,-0.34,-0.44,-1.27,-0.40
1969.00,-1.26,-0.95,-0.50,-0.44,-0.20,0.89,0.10,-0.81,-0.66,1.12,0.15,1.38,-0.10
1970.00,0.61,0.43,1.33,0.43,-0.49,0.06,-0.68,-1.63,-1.67,-1.39,-0.80,-0.97,-0.40
1971.00,-1.90,-1.74,-1.68,-1.59,-1.55,-1.55,-2.20,-0.15,0.21,-0.22,-1.25,-1.87,-1.29
1972.00,-1.99,-1.83,-2.09,-1.65,-1.57,-1.87,-0.83,0.25,0.17,0.11,0.57,-0.33,-0.92
1973.00,-0.46,-0.61,-0.50,-0.69,-0.76,-0.97,-0.57,-1.14,-0.51,-0.87,-1.81,-0.76,-0.80
1974.00,-1.22,-1.65,-0.90,-0.52,-0.28,-0.31,-0.08,0.27,0.44,-0.10,0.43,-0.12,-0.34
1975.00,-0.84,-0.71,-0.51,-1.30,-1.02,-1.16,-0.40,-1.07,-1.23,-1.29,-2.08,-1.61,-1.10
1976.00,-1.14,-1.85,-0.96,-0.89,-0.68,-0.67,0.61,1.28,0.82,1.11,1.25,1.22,0.01
1977.00,1.65,1.11,0.72,0.30,0.31,0.42,0.19,0.64,-0.55,-0.61,-0.72,-0.69,0.23
1978.00,0.34,1.45,1.34,1.29,0.90,0.15,-1.24,-0.56,-0.44,0.10,-0.07,-0.43,0.24
1979.00,-0.58,-1.33,0.30,0.89,1.09,0.17,0.84,0.52,1.00,1.06,0.48,-0.42,0.34
1980.00,-0.11,1.32,1.09,1.49,1.20,-0.22,0.23,0.51,0.10,1.35,0.37,-0.10,0.60
1981.00,0.59,1.46,0.99,1.45,1.75,1.69,0.84,0.18,0.42,0.18,0.80,0.67,0.92
1982.00,0.34,0.20,0.19,-0.19,-0.58,-0.78,0.58,0.39,0.84,0.37,-0.25,0.26,0.11
1983.00,0.56,1.14,2.11,1.87,1.80,2.36,3.51,1.85,0.91,0.96,1.02,1.69,1.65
1984.00,1.50,1.21,1.77,1.52,1.30,0.18,-0.18,-0.03,0.67,0.58,0.71,0.82,0.84
1985.00,1.27,0.94,0.57,0.19,0.00,0.18,1.07,0.81,0.44,0.29,-0.75,0.38,0.45
1986.00,1.12,1.61,2.18,1.55,1.16,0.89,1.38,0.22,0.22,1.00,1.77,1.77,1.24
1987.00,1.88,1.75,2.10,2.16,1.85,0.73,2.01,2.83,2.44,1.36,1.47,1.27,1.82
1988.00,0.93,1.24,1.42,0.94,1.20,0.74,0.64,0.19,-0.37,-0.10,-0.02,-0.43,0.53
1989.00,-0.95,-1.02,-0.83,-0.32,0.47,0.36,0.83,0.09,0.05,-0.12,-0.50,-0.21,-0.18
1990.00,-0.30,-0.65,-0.62,0.27,0.44,0.44,0.27,0.11,0.38,-0.69,-1.69,-2.23,-0.36
1991.00,-2.02,-1.19,-0.74,-1.01,-0.51,-1.47,-0.10,0.36,0.65,0.49,0.42,0.09,-0.42
1992.00,0.05,0.31,0.67,0.75,1.54,1.26,1.90,1.44,0.83,0.93,0.93,0.53,0.93
1993.00,0.05,0.19,0.76,1.21,2.13,2.34,2.35,2.69,1.56,1.41,1.24,1.07,1.42
1994.00,1.21,0.59,0.80,1.05,1.23,0.46,0.06,-0.79,-1.36,-1.32,-1.96,-1.79,-0.15
1995.00,-0.49,0.46,0.75,0.83,1.46,1.27,1.71,0.21,1.16,0.47,-0.28,0.16,0.64
1996.00,0.59,0.75,1.01,1.46,2.18,1.10,0.77,-0.14,0.24,-0.33,0.09,-0.03,0.64
1997.00,0.23,0.28,0.65,1.05,1.83,2.76,2.35,2.79,2.19,1.61,1.12,0.67,1.46
1998.00,0.83,1.56,2.01,1.27,0.70,0.40,-0.04,-0.22,-1.21,-1.39,-0.52,-0.44,0.25
1999.00,-0.32,-0.66,-0.33,-0.41,-0.68,-1.30,-0.66,-0.96,-1.53,-2.23,-2.05,-1.63,-1.06
2000.00,-2.00,-0.83,0.29,0.35,-0.05,-0.44,-0.66,-1.19,-1.24,-1.30,-0.53,0.52,-0.59
2001.00,0.60,0.29,0.45,-0.31,-0.30,-0.47,-1.31,-0.77,-1.37,-1.37,-1.26,-0.93,-0.56
2002.00,0.27,-0.64,-0.43,-0.32,-0.63,-0.35,-0.31,0.60,0.43,0.42,1.51,2.10,0.22
2003.00,2.09,1.75,1.51,1.18,0.89,0.68,0.96,0.88,0.01,0.83,0.52,0.33,0.97
2004.00,0.43,0.48,0.61,0.57,0.88,0.04,0.44,0.85,0.75,-0.11,-0.63,-0.17,0.35
2005.00,0.44,0.81,1.36,1.03,1.86,1.17,0.66,0.25,-0.46,-1.32,-1.50,0.20,0.38
2006.00,1.03,0.66,0.05,0.40,0.48,1.04,0.35,-0.65,-0.94,-0.05,-0.22,0.14,0.19
2007.00,0.01,0.04,-0.36,0.16,-0.10,0.09,0.78,0.50,-0.36,-1.45,-1.08,-0.58,-0.20
2008.00,-1.00,-0.77,-0.71,-1.52,-1.37,-1.34,-1.67,-1.70,-1.55,-1.76,-1.25,-0.87,-1.29
2009.00,-1.40,-1.55,-1.59,-1.65,-0.88,-0.31,-0.53,0.09,0.52,0.27,-0.40,0.08,-0.61
2010.00,0.83,0.82,0.44,0.78,0.62,-0.22,-1.05,-1.27,-1.61,-1.06,-0.82,-1.21,-0.31
2011.00,-0.92,-0.83,-0.69,-0.42,-0.37,-0.69,-1.86,-1.74,-1.79,-1.34,-2.33,-1.79,-1.23
2012.00,-1.38,-0.85,-1.05,-0.27,-1.26,-0.87,-1.52,-1.93,-2.21,-0.79,-0.59,-0.48,-1.10
2013.00,-0.13,-0.43,-0.63,-0.16,0.08,-0.78,-1.25,-1.04,-0.48,-0.87,-0.11,-0.41,-0.52
2014.00,0.30,0.38,0.97,1.13,1.80,0.82,0.70,0.67,1.08,1.49,1.72,2.51,1.13
2015.00,2.45,2.30,2.00,1.44,1.20,1.54,1.84,1.56,1.94,1.47,0.86,1.01,1.63
2016.00,1.53,1.75,2.40,2.62,2.35,2.03,1.25,0.52,0.45,0.56,1.88,1.17,1.54
2017.00,0.77,0.70,0.74,1.12,0.88,0.79,0.10,0.09,0.32,0.05,0.15,0.50,0.52
2018.00,0.70,0.37,-0.05,0.11,0.11,-0.04,0.11,0.18,0.09,,,,0.18
